date,latitude,longitude,temperature,humidity,wind_speed,solar_radiation,heatwave,temperature_previous_day,temperature_3day_avg,temperature_7day_avg
2023-01-07,26.68738394594556,80.63478274287326,38.9,45.53,8.72,506.65,0,29.83,32.85333333333333,33.60142857142857
2023-01-08,26.920405879555496,81.17343717396294,34.84,70.29,14.14,411.53,0,38.9,34.52333333333333,33.79571428571428
2023-01-09,26.949150755041156,80.83498353348786,28.65,75.88,6.41,431.74,0,34.84,34.13,33.558571428571426
2023-01-10,26.75938325920357,81.16111560087883,33.71,33.62,6.67,668.33,0,28.65,32.4,33.48285714285714
2023-01-11,27.05534283051635,80.75956009926004,28.68,42.25,6.44,650.96,0,33.71,30.346666666666664,32.06285714285714
2023-01-12,26.68378372018212,80.8930224828747,28.67,29.41,6.61,593.1,0,28.68,30.353333333333335,31.897142857142857
2023-01-13,27.15495405411004,80.96432171138851,32.21,55.96,6.41,388.92,0,28.67,29.853333333333335,32.23714285714286
2023-01-14,26.37890711191364,80.59923439047648,21.43,70.76,10.97,482.03,0,32.21,27.436666666666667,29.74142857142857
2023-01-15,26.894232852841245,81.20928852089705,22.38,82.54,11.55,665.57,0,21.43,25.34,27.961428571428574
2023-01-16,27.5286251496704,80.77037525173495,28.19,61.11,6.57,537.01,0,22.38,24.0,27.895714285714288
2023-01-17,26.49988403638805,80.869990029631,25.94,84.43,5.92,798.32,0,28.19,25.503333333333334,26.785714285714285
2023-01-18,26.612789260316305,80.60197771888703,32.57,39.3,9.18,567.2,0,25.94,28.900000000000002,27.34142857142857
2023-01-19,27.02986774738062,80.05318321942164,26.46,34.45,6.62,543.05,0,32.57,28.323333333333334,27.025714285714287
2023-01-20,26.91285362367886,80.88314028308994,23.94,59.17,9.58,482.91,0,26.46,27.656666666666666,25.844285714285714
2023-01-21,26.972720534745747,81.79441539756452,38.33,65.76,8.51,536.02,0,23.94,29.576666666666664,28.25857142857143
2023-01-22,27.021215495551683,81.22461150076431,29.87,59.51,4.21,501.7,0,38.33,30.713333333333328,29.32857142857143
2023-01-23,27.07215251399662,80.94325886709296,31.34,28.99,11.87,604.97,0,29.87,33.18,29.778571428571432
2023-01-24,27.23839494468468,80.8579882097771,23.88,58.66,12.49,634.8,0,31.34,28.36333333333333,29.484285714285715
2023-01-25,26.99343652992498,80.95786306248422,28.28,40.43,6.47,425.68,0,23.88,27.83333333333333,28.87142857142857
2023-01-26,26.76555982088351,81.14149169031133,31.55,70.05,7.03,360.25,0,28.28,27.903333333333332,29.59857142857143
2023-01-27,27.08540079542096,80.53671551464191,25.25,65.5,8.71,299.66,0,31.55,28.36,29.785714285714285
2023-01-28,27.514958677213325,81.3400125931341,32.88,45.9,8.84,580.96,0,25.25,29.893333333333334,29.00714285714286
2023-01-29,26.8035781887661,81.20038346040444,28.0,52.29,9.65,387.6,0,32.88,28.709999999999997,28.740000000000002
2023-01-30,26.50891474336528,81.20136500399778,29.54,44.11,13.03,261.65,0,28.0,30.139999999999997,28.482857142857142
2023-01-31,27.23747823425044,81.10346650858341,27.99,59.06,7.56,566.63,0,29.54,28.509999999999994,29.07
2023-02-01,26.807866592616243,80.9568658301929,40.26,74.33,6.0,819.16,0,27.99,32.596666666666664,30.78142857142857
2023-02-02,26.08956565889509,81.1855014325884,30.93,45.21,4.55,519.27,0,40.26,33.06,30.692857142857147
2023-02-03,27.14659758700265,81.15713494680949,25.71,67.56,6.17,620.62,0,30.93,32.3,30.75857142857143
2023-02-04,26.66263513491613,80.82608575117064,35.11,52.05,7.92,529.82,0,25.71,30.583333333333332,31.077142857142857
2023-02-05,26.818313351193545,80.74923937948608,24.9,48.11,12.49,508.13,0,35.11,28.573333333333334,30.634285714285713
2023-02-06,26.96619311569916,80.98564970334169,32.04,58.39,6.71,630.29,0,24.9,30.683333333333334,30.99142857142857
2023-02-07,26.916674887922674,81.49215705302332,21.2,44.47,8.56,485.17,0,32.04,26.046666666666667,30.02142857142857
2023-02-08,27.098308135998664,80.51631252352114,24.36,51.7,7.96,552.09,0,21.2,25.866666666666664,27.75
2023-02-09,26.69757977030056,80.43636615698665,31.98,42.03,10.97,558.6,0,24.36,25.846666666666664,27.9
2023-02-10,27.02958702936163,81.00766629443278,34.69,89.47,14.32,439.83,0,31.98,30.343333333333334,29.182857142857138
2023-02-11,26.759158662845632,80.9678106956496,31.86,60.53,6.67,639.05,0,34.69,32.843333333333334,28.71857142857143
2023-02-12,27.108583668310622,81.01066958252964,30.42,49.5,6.78,499.0,0,31.86,32.32333333333333,29.507142857142856
2023-02-13,27.06537861940457,81.03538361926798,29.49,63.21,10.61,429.31,0,30.42,30.59,29.142857142857142
2023-02-14,26.522596454284397,80.87187921087782,23.61,58.32,9.7,584.38,0,29.49,27.84,29.487142857142857
2023-02-15,27.230093740661264,81.47145220351074,27.4,56.69,12.62,412.18,0,23.61,26.833333333333332,29.92142857142857
2023-02-16,26.662412794210084,80.38968360753323,28.7,69.21,9.46,523.38,0,27.4,26.570000000000004,29.452857142857145
